"collectDate","plotID","adultCount","nymphCount","larvaCount","totalCount","totalSampledArea","targetTaxaPresent","domainID","siteID","nlcdClass","elevation","lat","lon","geodeticDatum"
2016-05-23,"BART_029",0,0,0,0,150,"N","D01","BART","evergreenForest",291.7,44.058948,-71.289336,"WGS84"
2016-05-23,"BART_011",0,0,0,0,160,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2016-05-23,"BART_010",0,0,0,0,161,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2016-05-23,"BART_019",0,0,0,0,157,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2016-05-24,"BART_002",0,0,0,0,160,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2016-05-24,"BART_015",0,0,0,0,160,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2016-06-13,"BART_029",0,0,0,0,150,"N","D01","BART","evergreenForest",291.7,44.058948,-71.289336,"WGS84"
2016-06-13,"BART_011",0,0,0,0,160,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2016-06-13,"BART_010",0,0,0,0,160,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2016-06-13,"BART_019",0,0,0,0,157,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2016-06-14,"BART_002",0,0,0,0,160,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2016-06-14,"BART_015",0,0,0,0,160,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2016-07-05,"BART_019",0,0,0,0,154,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2016-07-05,"BART_029",0,0,0,0,151,"N","D01","BART","evergreenForest",291.7,44.058948,-71.289336,"WGS84"
2016-07-05,"BART_010",0,0,0,0,160,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2016-07-05,"BART_011",0,0,0,0,160,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2016-07-06,"BART_002",0,0,0,0,160,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2016-07-06,"BART_015",0,0,0,0,160,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2016-07-25,"BART_019",0,0,0,0,157,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2016-07-25,"BART_011",0,0,0,0,160,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2016-07-26,"BART_010",0,0,0,0,160,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2016-07-26,"BART_002",0,0,0,0,160,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2016-08-15,"BART_002",0,0,0,0,160,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2016-08-15,"BART_015",0,0,0,0,160,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2016-08-15,"BART_010",0,0,0,0,160,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2016-08-15,"BART_011",0,0,0,0,160,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2016-08-16,"BART_029",0,0,0,0,160,"N","D01","BART","evergreenForest",291.7,44.058948,-71.289336,"WGS84"
2016-08-16,"BART_019",0,0,0,0,160,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2016-09-06,"BART_002",0,0,0,0,160,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2016-09-06,"BART_010",0,0,0,0,160,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2016-09-06,"BART_015",0,0,0,0,140,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2016-09-07,"BART_011",0,0,0,0,170,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2016-09-07,"BART_029",0,0,0,0,152,"N","D01","BART","evergreenForest",291.7,44.058948,-71.289336,"WGS84"
2016-09-07,"BART_019",0,0,0,0,159,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2016-09-26,"BART_019",0,0,0,0,80,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2016-09-26,"BART_029",0,0,0,0,80,"N","D01","BART","evergreenForest",291.7,44.058948,-71.289336,"WGS84"
2016-09-26,"BART_010",0,0,0,0,80,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2016-09-26,"BART_011",0,0,0,0,80,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2016-09-29,"BART_002",0,0,0,0,160,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2016-09-29,"BART_015",0,0,0,0,160,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2016-10-17,"BART_002",0,0,0,0,160,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2016-10-17,"BART_015",0,0,0,0,160,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2016-10-17,"BART_010",0,0,0,0,160,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2016-10-17,"BART_019",0,0,0,0,140,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2016-10-17,"BART_029",0,0,0,0,150,"N","D01","BART","evergreenForest",291.7,44.058948,-71.289336,"WGS84"
2016-10-17,"BART_011",0,0,0,0,160,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2016-11-08,"BART_019",0,0,0,0,158,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2016-11-08,"BART_029",0,0,0,0,150,"N","D01","BART","evergreenForest",291.7,44.058948,-71.289336,"WGS84"
2016-11-08,"BART_011",0,0,0,0,160,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2016-11-08,"BART_010",0,0,0,0,168,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2016-11-08,"BART_015",0,0,0,0,160,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2016-11-08,"BART_002",0,0,0,0,160,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2017-04-24,"BART_002",0,0,0,0,148,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2017-04-25,"BART_015",0,0,0,0,157,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2017-06-07,"BART_011",0,0,0,0,157,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2017-06-07,"BART_029",0,0,0,0,140,"N","D01","BART","evergreenForest",291.7,44.058948,-71.289336,"WGS84"
2017-06-07,"BART_019",0,0,0,0,152,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2017-06-07,"BART_002",0,0,0,0,155,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2017-06-07,"BART_015",0,0,0,0,157,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2017-06-07,"BART_010",0,0,0,0,156,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
