"collectDate","plotID","domainID","siteID","nlcdClass","elevation","lat","lon","geodeticDatum","totalTraps","total","BLBR","BLCA","BLHY","BLSP","CHHI","CRPA","CRSP","DIVI","GLSA","GLVO","MIOC","MIPE","MIPI","MRSP","MUER","MUFR","MUMU","MUNI","MYGA","NAIN","NEFL","OCNU","ORPA","OTHE","PEGO","PELE","PEMA","PEME","PEPO","PESP","RARA","REHU","REME","ROSP","SCCA","SIHI","SOCI","SOFU","SOLO","SPTR","SRSP","SUSP","SYFL","TAHU","TAST","ZAHU"
2014-10-20,"BART_001","D01","BART","mixedForest",463.7,44.046877,-71.305115,"WGS84",100,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-20,"BART_012","D01","BART","deciduousForest",579.9,44.047478,-71.315451,"WGS84",100,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-20,"BART_062","D01","BART","deciduousForest",447.2,44.05735,-71.308646,"WGS84",100,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-21,"BART_001","D01","BART","mixedForest",463.7,44.046877,-71.305115,"WGS84",101,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-21,"BART_012","D01","BART","deciduousForest",579.9,44.047478,-71.315451,"WGS84",100,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-10-22,"BART_001","D01","BART","mixedForest",463.7,44.046877,-71.305115,"WGS84",100,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-22,"BART_012","D01","BART","deciduousForest",579.9,44.047478,-71.315451,"WGS84",101,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-22,"BART_062","D01","BART","deciduousForest",447.2,44.05735,-71.308646,"WGS84",100,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-10-23,"BART_007","D01","BART","mixedForest",382.7,44.051112,-71.298377,"WGS84",100,56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-23,"BART_015","D01","BART","mixedForest",422.8,44.042898,-71.275059,"WGS84",103,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2014-10-24,"BART_007","D01","BART","mixedForest",382.7,44.051112,-71.298377,"WGS84",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-24,"BART_015","D01","BART","mixedForest",422.8,44.042898,-71.275059,"WGS84",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-25,"BART_007","D01","BART","mixedForest",382.7,44.051112,-71.298377,"WGS84",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-25,"BART_015","D01","BART","mixedForest",422.8,44.042898,-71.275059,"WGS84",100,66,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-06-17,"BART_012","D01","BART","deciduousForest",579.9,44.047478,-71.315451,"WGS84",100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2015-06-17,"BART_015","D01","BART","mixedForest",422.8,44.042898,-71.275059,"WGS84",100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
